u v w
1809185834 1809137729 526.721
1809187067 1809187067 6039.264
1809202753 1809159394 84
1809202753 3154081783 215.158
1809202755 3333357768 186.296
1809202777 1809202753 116.634
1809202777 1809202923 226.448
1809202923 3154081783 109.68
1809202923 3137230049 186.735
1809202923 1809202755 72.155
1809209355 1809209402 547.593
1809209355 3376420297 403.996
1809209362 5383972098 747.024
1809209378 5383972094 47.996
1809209378 5383972091 32.249
1809209388 5383972028 1971.293
1809209388 2022376381 1513.582
1809209402 1809209427 482.875
1809209402 3376420296 402.388
1809209407 4422244144 1108.047
1809209409 1809209414 553.817
1809209414 4422244143 986.433
1809209422 1809209409 480.344
1809209422 1809209443 928.113
1809209425 4422244138 364.468
1809209425 4422244128 455.316
1809209427 5384017191 253.969
1809209443 1809209422 14.252
1809209443 5384017190 547.84
1809221032 2080001379 544.957
1809221054 4870250194 72.89
1809221054 1646471764 405.059
1809810019 5385522569 484.953
1809810027 4832738021 438.507
1809810027 7272238020 270.124
1809810029 1809810157 77.755
1809810029 1809810111 59.772
1809810047 1809810019 218.184
1809810054 1771343579 110.811
1809810111 1809810157 57.136
1809810129 5378278440 340.817
1809810129 1691020381 33.703
1809810157 1809810047 268.159
1809810170 1539970858 952.202
1809810170 5385522570 670.134
1809810180 3729443632 19.196
1809810180 6321277917 221.166
1809810197 1539970845 421.362
1809810197 1770236918 207.631
1809810197 1809810306 461.91
1809810250 1539970858 231.921
1809810250 1809810360 1014.424
1809810252 1809810310 358.184
1809810252 3426741504 64.059
1809810306 1539970719 425.234
1809810306 1809810442 303.108
1809810310 1809810426 147.635
1809810310 5385857254 65.238
1809810316 1809810129 423.173
1809810316 5378278466 165.777
1809810360 1809810252 381.751
1809810360 1831519956 757.977
1809810442 1539971378 431.547
1809810479 5385522620 12.7
1809810479 3128098107 44.793
1809816593 1809816610 252.884
1809816593 1809816620 238.013
1809816594 1539970963 277.222
1809816594 1809816595 24.221
1809816596 1809816617 13.13
1809816596 6321277924 1085.888
1809816598 1771343375 16.213
1809816598 3144932735 147.447
1809816599 6311730494 631.467
1809816602 1986290511 96.469
1809816602 1809821805 119.731
1809816603 1809816611 415.792
1809816603 1809816604 236.883
1809816604 1809821801 479.279
1809816604 1809816594 516.353
1809816610 1809816599 18.348
1809816610 6203646089 985.163
1809816611 1539971318 15.427
1809816611 1539970961 256.728
1809816614 6203646093 92.322
1809816614 6321277924 17.944
1809816617 1986290483 238.485
1809816617 1809816593 208.475
1809816618 1809816621 122.336
1809816618 1809816602 189.872
1809816620 3147455390 158.465
1809816620 1986290483 264.411
1809816621 1809816603 308.944
1809816621 1809821805 196.566
1809818905 1809818925 20.633
1809818905 1539970908 47.295
1809818916 10036657099 32.717
1809818916 1539971452 15.442
1809818920 1809819665 170.013
1809818920 10036657094 1569.628
1809818925 1771342905 10.622
1809818925 1539971452 9.637
1809819665 4031255708 578.996
1809819665 1809819664 890.689
1809819667 1809821807 279.892
1809819667 1809819669 14.291
1809819669 10036657086 188.174
1809819669 1809819665 644.777
1809821799 1809821807 14.708
1809821799 1809819669 285.532
1809821801 1771343064 14.781
1809821801 1809816611 296.992
1809821805 1809816604 364.834
1809821807 1809821801 17.918
1811817278 5433628852 876.765
1811817278 3333464811 8677.734
1814233392 1770234621 151.838
1814233392 1814233144 1497.477
1814258172 1539924744 104.739
1814258220 1814258224 56.559
1814258220 1814258172 165.258
1814258224 1814258172 180.347
1814274967 4331238262 116.24
1814274967 3154150328 1408.359
1814274976 1814275025 11.089
1814274983 4329560215 72.418
1814274983 1817349528 586.578
1814274984 6225853475 11.449
1814274986 6910237826 5.084
1814274986 4080162745 323.457
1814274995 1814275023 90.79
1814275005 4832763044 63.49
1814275005 4832773821 795.999
1814275011 1814274983 164.766
1814275016 1814275023 968.426
1814275023 4331238264 449.853
1814275025 1814275057 367.371
1814275030 5385857261 59.197
1814275030 1814275005 200.594
1814275032 1817329779 65.775
1814275032 1814275052 93.285
1814275043 1817329646 80.262
1814275046 3212333778 466.294
1814275049 6910242910 190.935
1814275049 6773070610 47.056
1814275052 1817329422 72.688
1814275052 1814274984 196.401
1814275057 1814274967 17.148
1814275057 7272238045 261.193
1814282484 10121637951 98.275
1814282484 1814282559 175.143
1814282559 1814282772 102.48
1814282711 3144903479 729.696
1814282711 10121637925 838.352
1814282772 10121637936 8.048
1814301861 1814301956 22.86
1814301861 1817420158 195.829
1814301865 1817420315 22.704
1814301865 1814301958 284.762
1814301867 1770057498 8.268
1814301867 1814301957 242.132
1814301920 1814309748 38.449
1814301920 1770057512 257.297
1814301930 1817420416 18.831
1814301930 1814301867 412.426
1814301956 1814301865 230.313
1814301957 1817420459 35.077
1814301957 1770057498 240.93
1814301958 1817420584 256.111
1814301958 1814301930 411.798
1814309723 1539971229 20.951
1814309723 8255419636 939.711
1814309748 1770057421 76.316
1814319601 9250716150 12.986
1814319601 1771343489 605.238
1817329416 1817329924 71.943
1817329416 1814275043 67.201
1817329422 1817329855 254.757
1817329422 1817329779 77.578
1817329444 1817329796 71.356
1817329598 1817329796 200.618
1817329598 1817329814 276.153
1817329646 1814275032 110.068
1817329646 1817329929 65.74
1817329779 1817329929 106.918
1817329779 1817329444 148.406
1817329796 1817329416 121.646
1817329796 1817329814 74.374
1817329814 1817329924 130.489
1817329855 1817329444 86.944
1817329855 1817329598 182.278
1817329924 1770057576 64.344
1817329929 1817329416 66.977
1817349534 1814275016 170.641
1817349534 1817349592 428.398
1817349592 1814275016 89.699
1817349592 1817349489 205.595
1817349610 1770057461 619.88
1817361671 1817361730 48.917
1817361671 1817361702 72.999
1817361678 3412765608 35.351
1817361684 1817361724 58.251
1817361684 3412767653 70.07
1817361684 1817361713 70.736
1817361690 3412765604 72.463
1817361702 1817361734 73.008
1817361703 3412767329 32.447
1817361704 3412765602 89.164
1817361706 3412767330 14.806
1817361707 3412765603 96.446
1817361712 1817361671 72.356
1817361713 1817361721 57.191
1817361713 1817361721 175.735
1817361715 1817361719 105.861
1817361719 1817361690 69.539
1817361719 1817361733 44.337
1817361724 1539971420 38.622
1817361724 1817361721 72.241
1817361730 1539971420 222.262
1817361733 3412765605 139.908
1817361734 1817361724 71.246
1817420081 1817420350 94.971
1817420081 1539971229 72.022
1817420158 1814274984 15.51
1817420158 1691020378 265.866
1817420230 4034963993 871.064
1817420315 1817349610 181.996
1817420315 1814301956 264.021
1817420350 1770057526 217.227
1817420387 1817420665 54.076
1817420387 1817420614 234.746
1817420416 1770057461 417.914
1817420416 1814301937 75.648
1817420451 1817420601 20.847
1817420451 1817420230 68.363
1817420459 1817420665 76.35
1817420504 1814301865 262.384
1817420504 5291204618 111.999
1817420584 1770057489 9.676
1817420584 1817420504 174.105
1817420597 1817420459 70.567
1817420597 1814301957 91.491
1817420601 1814309723 16.188
1817420614 1814301867 116.809
1817420614 1817420646 344.554
1817420646 1817420584 380.58
1817420646 1814301930 189.998
1817420665 1817420597 254.094
1817420667 1817420230 94.286
1817420667 1817420451 53.06
1818059661 1818059665 234.653
1818059667 1818059661 182.909
1818059667 5291204619 76.734
1821098996 1821099404 831.911
1821099008 6254777115 123.095
1821099008 5383972108 8040.931
1821099009 1646471720 13.891
1821099053 1821099886 320.003
1821099053 5383972110 14.681
1821099079 1821099476 724.141
1821099079 4646427695 578.302
1821099079 1821099325 783.702
1821099110 6254545111 743.393
1821099110 1821099678 869.194
1821099139 4646408832 918.688
1821099153 4646427724 10.562
1821099153 4646427698 2497.076
1821099325 1821099476 1334.391
1821099325 1821098996 899.739
1821099362 4646408821 19.977
1821099362 4646422188 98.381
1821099404 1821098996 2418.073
1821099404 1821099653 773.424
1821099450 4646408819 23.031
1821099450 1821099362 272.383
1821099476 1821099139 3289.012
1821099653 4617408205 1464.076
1821099653 6254321523 1577.515
1821099678 4646408817 19.893
1821099678 1821099450 204.696
1821099729 4646427695 13.335
1821099729 1821099079 578.691
1821099762 6452981588 555.931
1821099762 1821099053 267.996
1821099886 1821099153 442.819
1821099886 5383972111 11.318
1823313149 1823313190 776.847
1823313190 1823313172 523.81
1823317260 1823317256 278.417
1823317260 1823317261 425.289
1823317261 1646411811 36.929
1823317265 1646411811 52.022
1823317265 1823317261 36.043
1831510902 5385522601 46.242
1831510909 7272238004 51.135
1831510909 8779113562 501.771
1831510918 2858395226 57.212
1831510918 6211877449 86.823
1831519928 1831520006 268.548
1831519985 1831520004 173.233
1831520006 5385911991 104.139
1831520006 1831519985 174.848
1831520023 5385522588 873.525
1831520023 5385911991 189.964
1845162004 1845163280 584.076
1845162004 1845163230 437.818
1845162541 5287756351 378.989
1845162617 1845162900 234.24
1845162639 1845163264 150.423
1845162694 1767501200 13.942
1845162694 3336440140 924.398
1845162789 1845162900 224.969
1845162823 1845162541 935.404
1845162900 1845163230 118.66
1845163213 1845162789 397.777
1845163213 1845163216 250.432
1845163216 1845162639 298.105
1845163216 1845163333 939.389
1845163230 1845162789 194.894
1845163241 1845162823 135.297
1845163241 1845163356 441.816
1845163280 1845163213 40.033
1926194056 1926194023 600.241
1926195078 4646439141 410.251
1926195081 1926195077 15.014
1926195081 1809137711 500.323
1986290483 6203640875 384.785
2022376381 5383971510 434.596
2022376662 2022376381 1606.118
2022376905 4646433261 111.132
2079982394 3479214730 4458.289
2079982394 8248550051 1070.013
2080001379 7434524009 35.079
2080001399 2080001379 24.785
2080001399 1468924690 1598.032
2087647851 2087647888 776.104
2087647851 5518831406 249.457
2087647861 5518831410 51.527
2087647885 5372887316 632.002
2087647888 2087647885 394.085
2087647888 5372887318 971.977
2133183628 1770234695 22.222
2133183648 1539924950 26.043
2133183648 4034963989 31.023
2858295046 10170424248 382.041
2858295061 2858386093 3625.13
2858295067 5846246850 977.678
2858295067 2858295046 587.614
2858330380 2858395255 1668.564
2858386093 2858395254 1352.548
2858386093 2858395203 568.339
2858386094 2858295067 3489.129
2858395203 2858395219 94.445
2858395203 2858395215 87.258
2858395206 2858386094 559.134
2858395208 8779096614 529.72
2858395212 6211877453 34.966
2858395212 2858395206 57.901
2858395215 2858395226 15.304
2858395215 2858395219 50.305
2858395219 3784773295 488.153
2858395223 6211877453 17.834
2858395223 2858395208 83.34
2858395225 2858395223 49.078
2858395225 2858395208 91.819
2858395226 2858395227 61.307
2858395226 2858395223 28.856
2858395227 2858395254 619.432
2858395230 2858395225 54.757
2858395231 1831510902 65.751
2858395231 2858395234 46.544
2858395234 5385522584 17.27
2858395234 9409798001 93.648
2858395254 7290085417 1517.773
2858395255 2858395230 577.804
2858395255 2858386094 1299.022
2858737267 6211947619 1177.421
2858737267 6211947618 1375.206
2858737268 1646471754 1430.236
2858738211 6211947610 194.154
2858738211 3578648753 2705.105
2968884944 1646411682 27.737
2968884944 4526755032 39.262
3128098106 5378278476 174.082
3128098106 5378278441 21.255
3128098107 5385523621 12.481
3128098107 3137081843 131.945
3129100459 5378278480 66.737
3129100459 6910242911 188.353
3129100461 4080162765 9.582
3129100461 3279483501 136.874
3129100462 5378278469 25.046
3129100462 4644525702 18.57
3129100463 3784773294 369.846
3129100463 3129100465 318.615
3129100465 6452978378 48.651
3129100466 5385523628 39.114
3129100466 5385522618 12.02
3137081843 3129100465 340.299
3137081843 6910237835 15.288
3137081843 3784773294 499.069
3137230042 1809202755 118.756
3137230049 3151175815 216.305
3137230049 1809202777 374.346
3144903479 10121637930 43.305
3144903480 10121637926 27.282
3144903480 8264202741 10.781
3144903480 1814282484 632.447
3144932733 3791311017 44.211
3144932733 1809816598 106.725
3144932734 3144932735 119.59
3144932735 1771343439 170.961
3144934476 3144934477 204.645
3144934476 1809816610 450.66
3144934477 3144932734 26.377
3145484707 3145484711 315.879
3145484711 3144932733 68.315
3145720105 3145720108 1072.042
3145731811 2079982394 3121.473
3145731811 8255454517 379.776
3145746553 1809185834 404.347
3145746553 3145746554 447.811
3145746554 1809171437 267.854
3145762400 6201094845 652.896
3147455376 3129100461 109.956
3147455377 1691020381 307.756
3147455377 3147455376 138.531
3147455383 5378278481 21.941
3147455383 4285849809 201.597
3147455389 3147455390 82.2
3147455390 3147455395 43.975
3147455395 3145484711 52.026
3150508631 3129100463 211.71
3150508631 3150508632 409.422
3150508632 5385911969 117.256
3150508633 5385911971 15.44
3150519490 5385522587 291.089
3150519490 8264202744 10.433
3150519491 3150519492 264.632
3150519491 3150519496 384.681
3150519492 6321277921 227.962
3150519496 3150519492 145.907
3151175815 8255393564 5011.806
3154081783 3137230042 90.137
3154081783 3333345882 120.91
3154130523 1691020308 190.026
3154130523 1814282559 1159.599
3154150328 1814275046 234.351
3212333768 6907278408 82.278
3212333770 4080162763 101.997
3212333770 3212333771 96.23
3212333771 6201094837 117.476
3212333771 6201094858 111.232
3212333773 6910242897 19.314
3212333773 6201094847 120.628
3212333778 5378278482 114.229
3279483499 6913013280 189.748
3279483499 3279483500 45.889
3279483500 5378278472 219.063
3279483500 3128098106 184.713
3279483501 3147455377 110.591
3279483501 1809810316 37.6
3300688873 5385362948 412.94
3331397793 5383971511 129.544
3331397793 5383971488 419.007
3331397795 5383971472 551.589
3331397795 5383971495 12.783
3331397931 5383971471 44.105
3331397931 5383971468 37.454
3331398174 3331398175 819.481
3331398175 8019187747 158.461
3331398193 3627246851 732.614
3331398193 4329590631 974.146
3331398218 8019187747 12.022
3331398218 3331398219 655.187
3331398218 3331398175 1184.176
3333345850 6549439222 114.851
3333345850 3333345865 102.784
3333345852 1646411423 378.646
3333345852 1926195078 317.057
3333345865 5375225285 107.429
3333345879 3333345852 482.475
3333345882 1809161010 11.049
3333357768 3137230049 91.789
3333357768 3151175815 102.806
3333357770 1809161022 54.753
3333357770 5385659740 191.843
3333357772 3137230042 50.601
3333357773 1809137942 108.361
3333357775 3333357773 338.99
3336440135 1767501200 919.443
3336440139 4031094124 49.236
3336440139 3336440135 121.441
3336440140 1767501205 60.227
3336440140 3336440144 103.548
3336440144 4352504510 542.239
3337936048 1809140556 177.119
3346002564 1814282711 203.282
3376420296 1809209409 404.622
3376420296 3376420297 552.052
3376420297 4422244141 291.61
3376433834 1809209362 73.009
3376433834 3376433835 59.788
3376433835 1809209362 30.669
3376567295 3376567296 635.291
3376567296 1809209407 990.197
3376567296 7947429131 697.628
3411040380 1539970984 23.135
3411040380 1770048542 2015.175
3412765601 3412765602 69.748
3412765601 3412765607 63.302
3412765602 3412765603 71.681
3412765602 3412765604 61.949
3412765603 1817361690 61.367
3412765603 1817361719 134.633
3412765604 3412765607 70.056
3412765604 3412765605 44.968
3412765605 1817361730 217.4
3412765606 3412765601 69.428
3412765607 1817361712 73.045
3412765608 1817361712 63.979
3412765608 3412765601 74.613
3412767329 1817361671 60.499
3412767329 3412765608 70.49
3412767330 1817361702 59.855
3412767330 3412767329 70.936
3412767653 1817361734 60.161
3412767653 3412767330 70.646
3417574000 1643025158 29.02
3417588387 5385523637 312.535
3417588387 5378278452 26.247
3417588387 6910351753 47.301
3417588388 5378278438 22.433
3417588389 3417588390 79.341
3417588389 5385523642 302.029
3417588390 3417588388 209.07
3417588390 3417588391 22.642
3417588391 1691020245 128.418
3426729720 3426739984 129.229
3426729721 1814275030 525.581
3426739983 3426739988 102.136
3426739984 3426729721 85.591
3426739985 3426729721 414.95
3426739987 3426729720 37.833
3426739987 3426739988 134.566
3426739988 3426739984 37.373
3426739992 3426739992 536.089
3426739992 3426741502 165.798
3426741502 5385857256 212.813
3426741504 5385857253 310.362
3426741504 3426741506 40.788
3426741505 3426741506 203.723
3426741506 3426741502 110.5
3479214730 1809221032 542.64
3578648752 3578648754 21.212
3578648752 4031133514 2213.363
3578648753 3578648751 20.377
3578648753 8255454517 2106.187
3578648754 3578648753 37.747
3578648754 6211947608 2704.628
3627246851 5385362950 10.465
3627246851 5385362993 1364.56
3627246852 3331397931 19.18
3627246852 5383971479 36.395
3627246852 5383971475 11.798
3698875584 6254778726 981.503
3698875584 4646697249 522.729
3729443632 3150519491 245.598
3729443632 1771343124 1128.977
3784773294 3784773295 339.329
3784773294 3150508632 224.095
3784773295 8264202744 14.272
3791311016 3147455395 46.178
3791311016 3791311017 127.852
3791311017 3144932734 95.182
3791311024 3144934477 78.222
3791311024 3791311032 339.045
3791311032 3791311024 68.937
3791311032 3791311016 33.362
3815473784 1643025105 2605.089
4029827347 6452930497 13.472
4029827347 4029827351 65.038
4029827351 3336440144 52.774
4029848628 5518831404 39.417
4029848628 4029848632 28.124
4029848632 1809159456 275.063
4031094124 1646411891 43.292
4031094124 4031094128 72.738
4031094128 5287756353 589.684
4031255708 6311728283 73.742
4034946693 1691020241 14.492
4034946693 1770057568 1129.5
4034963864 4034963886 39.052
4034963864 4034963866 17.02
4034963866 1770057544 299.806
4034963886 4034963989 39.722
4034963886 2133183648 22.017
4034963989 2133183628 1242.05
4034963990 4034963866 37.387
4034963993 1539971414 42.938
4034963993 4034963990 49.013
4054769361 8248550051 502.199
4054769361 2858738211 608.744
4054769363 6579698970 34.183
4054769363 4054769361 48.409
4054769364 4054769363 28.155
4054769364 6579698970 41.976
4080133797 1770048747 1594.163
4080162745 6910248738 99.202
